schema_version,submission_id,submitted_at_utc,dynamic_question_ids,project_code,company_name,company_size,employee_count,industry,production_type,line_name,region,pain_points,current_systems,automation_level,pilot_scope,profile_owner,respondent_code,role,department,shift,years_experience,tenure_current_position,education_level,digital_exposure_years,digital_tool_frequency,participated_digital_project,training_hours_12m,decision_involvement,P_EQS_01,P_EQS_02,P_EQS_03,P_EQS_04,P_EQS_05,P_EQS_06,P_EQS_07,P_PRM_01,P_PRM_02,P_PRM_03,P_PRM_04,P_PRM_05,P_PRM_06,P_PRM_07,P_SEN_01,P_SEN_02,P_SEN_03,P_SEN_04,P_SEN_05,P_SEN_06,P_SEN_07,P_CAL_01,P_CAL_02,P_CAL_03,P_CAL_04,P_CAL_05,P_CAL_06,P_CAL_07,P_ACC_01,P_ACC_02,P_ACC_03,P_ACC_04,P_ACC_05,P_ACC_06,P_ACC_07,P_CMP_01,P_CMP_02,P_CMP_03,P_CMP_04,P_CMP_05,P_CMP_06,P_CMP_07,P_TIM_01,P_TIM_02,P_TIM_03,P_TIM_04,P_TIM_05,P_TIM_06,P_TIM_07,P_ENE_01,P_ENE_02,P_ENE_03,P_ENE_04,P_ENE_05,P_ENE_06,P_ENE_07,P_QLT_01,P_QLT_02,P_QLT_03,P_QLT_04,P_QLT_05,P_QLT_06,P_QLT_07,P_ACS_01,P_ACS_02,P_ACS_03,P_ACS_04,P_ACS_05,P_ACS_06,ATTN_P_01,C_NET_01,C_NET_02,C_NET_03,C_NET_04,C_NET_05,C_REL_01,C_REL_02,C_REL_03,C_REL_04,C_REL_05,C_LAT_01,C_LAT_02,C_LAT_03,C_LAT_04,C_LAT_05,C_LOS_01,C_LOS_02,C_LOS_03,C_LOS_04,C_LOS_05,C_PRT_01,C_PRT_02,C_PRT_03,C_PRT_04,C_PRT_05,C_EDG_01,C_EDG_02,C_EDG_03,C_EDG_04,C_EDG_05,C_IAM_01,C_IAM_02,C_IAM_03,C_IAM_04,C_IAM_05,C_BUF_01,C_BUF_02,C_BUF_03,C_BUF_04,C_BUF_05,C_CLK_01,C_CLK_02,C_CLK_03,C_CLK_04,C_CLK_05,C_SEC_01,C_SEC_02,C_SEC_03,C_SEC_04,ATTN_C_01,I_INT_01,I_INT_02,I_INT_03,I_INT_04,I_INT_05,I_INT_06,I_MDM_01,I_MDM_02,I_MDM_03,I_MDM_04,I_MDM_05,I_MDM_06,I_TRC_01,I_TRC_02,I_TRC_03,I_TRC_04,I_TRC_05,I_TRC_06,I_SHR_01,I_SHR_02,I_SHR_03,I_SHR_04,I_SHR_05,I_SHR_06,I_VIS_01,I_VIS_02,I_VIS_03,I_VIS_04,I_VIS_05,I_VIS_06,I_HMI_01,I_HMI_02,I_HMI_03,I_HMI_04,I_HMI_05,I_HMI_06,I_EXC_01,I_EXC_02,I_EXC_03,I_EXC_04,I_EXC_05,I_EXC_06,I_HDO_01,I_HDO_02,I_HDO_03,I_HDO_04,I_HDO_05,I_HDO_06,I_COL_01,I_COL_02,I_COL_03,I_COL_04,I_COL_05,I_COL_06,I_SIL_01,I_SIL_02,I_SIL_03,I_SIL_04,I_SIL_05,ATTN_I_01,O_APC_01,O_APC_02,O_APC_03,O_APC_04,O_APC_05,O_PDM_01,O_PDM_02,O_PDM_03,O_PDM_04,O_PDM_05,O_QAN_01,O_QAN_02,O_QAN_03,O_QAN_04,O_QAN_05,O_EOP_01,O_EOP_02,O_EOP_03,O_EOP_04,O_EOP_05,O_SCH_01,O_SCH_02,O_SCH_03,O_SCH_04,O_SCH_05,O_AID_01,O_AID_02,O_AID_03,O_AID_04,O_AID_05,O_PDC_01,O_PDC_02,O_PDC_03,O_PDC_04,O_PDC_05,O_ALM_01,O_ALM_02,O_ALM_03,O_ALM_04,O_ALM_05,O_SIM_01,O_SIM_02,O_SIM_03,O_SIM_04,O_SIM_05,O_BEN_01,O_BEN_02,O_BEN_03,O_BEN_04,ATTN_O_01,H_TRN_01,H_TRN_02,H_TRN_03,H_TRN_04,H_TRN_05,H_SKL_01,H_SKL_02,H_SKL_03,H_SKL_04,H_SKL_05,H_MGT_01,H_MGT_02,H_MGT_03,H_MGT_04,H_MGT_05,H_INC_01,H_INC_02,H_INC_03,H_INC_04,H_INC_05,H_CHG_01,H_CHG_02,H_CHG_03,H_CHG_04,H_CHG_05,H_HMT_01,H_HMT_02,H_HMT_03,H_HMT_04,ATTN_H_01,PERF_QUALITY,PERF_COST,PERF_EFF,PERF_FLEX,BARR_01,BARR_02,BARR_03,BARR_04,BARR_05,BARR_06,BAR_MULTI_01,BAR_MULTI_02,BAR_MULTI_03,BAR_RANK_01,BAR_RANK_02,BAR_RANK_03,BAR_RANK_04,OPEN_01,OPEN_02,OPEN_03
3.0.0,6629610cf47849579eb877696711e11f,2026-06-11T09:45:12.697830+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-001,operator,生产1组,day,1,1,college,1,daily,yes,6,approve_local,3,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3,2,3,2,3,3,3,2,3,4,3,3,4,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,4,3,3,3,3,3,3,3,2,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,3,3,2,4,3,3,4,4,3,3,3,2,4,3,2,4,4,4,3,2,3,3,3,3,3,3,3,4,3,3,4,3,3,3,2,4,3,3,2,2,3,3,2,2,3,3,2,4,2,3,4,2,2,4,2,3,2,2,2,4,2,2,2,3,2,4,2,3,3,2,2,4,2,3,2,2,3,3,3,2,4,3,2,3,3,2,3,2,3,4,4,3,4,2,4,2,3,3,3,3,3,2,2,2,4,1,2,3,2,3,2,2,3,3,4,2,2,3,2,4,3,3,2,2,4,2,2,3,2,3,3,2,2,1,4,2,2,3,2,4,4,4,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,4,3,3,3,3,2,2,3,4,4,3,3,3,4,3,4,3,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,5ebbd4716be746f68e54a210426ec281,2026-06-11T09:45:12.698677+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-002,technician,生产2组,night,2,2,college,2,daily,no,7,suggest,3,4,4,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,2,4,3,4,3,3,4,3,4,4,3,3,3,3,3,3,4,3,3,4,3,2,2,3,4,3,3,3,4,3,3,4,3,4,3,2,3,2,4,4,3,3,2,3,3,3,4,3,3,2,4,4,4,3,4,2,3,4,3,2,2,3,4,3,3,2,3,3,3,3,3,3,3,4,4,3,4,3,3,4,1,4,4,4,3,3,4,4,4,4,3,4,3,3,4,2,3,4,3,4,2,4,3,3,4,3,4,3,2,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4,4,4,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3,2,3,3,4,3,4,3,2,4,4,3,2,4,4,3,3,4,3,3,3,3,3,4,2,3,2,3,2,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,2,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,2,4,1,2,2,2,4,3,1,2,3,3,2,3,2,2,4,2,2,3,3,4,3,2,1,2,3,4,3,3,3,3,3,4,2,4,3,2,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,da0aff597600497486518d9f797b5305,2026-06-11T09:45:12.699701+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-003,process,生产3组,rotating,3,3,college,3,daily,no,8,suggest,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,3,4,3,3,3,2,2,3,3,3,2,3,3,3,3,3,4,4,3,4,3,3,4,3,4,2,3,3,3,4,3,3,3,2,4,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,5,4,2,4,4,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,4,2,3,2,4,2,3,3,4,3,2,3,3,3,4,3,3,3,3,2,3,4,3,3,3,3,3,3,2,3,4,3,3,3,2,3,2,3,3,3,4,3,2,3,4,2,2,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,4,3,3,3,3,4,3,3,3,3,4,2,3,3,4,4,2,2,4,3,4,2,2,3,1,4,4,4,4,5,2,4,4,4,4,2,5,3,4,4,2,4,4,4,4,2,4,4,3,4,2,3,4,4,4,2,4,3,3,3,3,2,4,3,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,a062638bc10a4d45af44fdb81840989b,2026-06-11T09:45:12.700511+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-004,team_lead,生产4组,regular,4,4,college,4,daily,yes,9,suggest,4,3,3,3,3,3,3,4,3,4,4,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,4,2,2,4,3,2,3,3,3,4,3,4,4,3,4,3,2,3,2,4,3,2,2,5,4,3,4,3,4,3,2,3,3,3,2,3,3,3,4,4,4,3,3,3,3,3,3,2,3,2,3,4,3,4,4,5,3,3,3,3,4,3,2,2,3,3,2,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,2,3,4,1,3,2,2,4,2,2,2,2,2,4,2,2,1,1,2,5,2,1,1,1,2,5,2,2,1,1,1,4,2,2,3,1,1,3,1,2,1,2,2,4,1,2,1,1,2,5,2,2,2,3,2,4,2,2,2,2,2,4,4,4,3,4,2,3,4,3,4,2,3,3,4,4,2,3,3,3,4,2,4,4,4,4,3,4,4,3,4,3,5,4,3,3,3,3,4,4,4,2,4,3,3,3,3,3,4,3,3,3,4,3,2,4,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,f73b429f6b6f48c190dc7dc08ed9f1de,2026-06-11T09:45:12.701335+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-005,automation,生产1组,day,5,5,college,5,daily,no,10,suggest,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,2,4,2,3,2,4,3,3,4,2,3,3,2,4,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,2,4,3,4,4,2,3,3,4,4,2,4,3,4,4,2,3,3,4,4,3,3,4,3,3,2,5,4,4,3,2,4,4,3,3,3,4,3,3,4,2,3,3,5,3,3,4,4,5,3,3,4,3,3,4,2,3,3,3,4,4,2,3,2,4,4,3,4,2,3,3,3,3,4,2,3,4,4,4,3,3,3,4,3,3,4,3,2,3,3,4,3,2,3,3,3,3,3,2,3,4,3,3,4,2,4,3,3,3,3,3,4,3,2,3,3,3,2,3,2,3,2,2,4,2,3,2,3,3,3,3,2,4,3,2,4,3,3,3,2,3,2,2,3,3,4,4,2,3,3,3,4,3,3,4,2,3,3,2,3,4,4,3,2,3,3,3,3,2,4,3,3,3,2,3,3,4,3,3,3,3,3,2,2,3,4,4,3,3,3,2,4,4,3,4,3,4,3,3,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,6c831c71ebd945f7810fd42d5ed9c468,2026-06-11T09:45:12.702168+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-006,operator,生产2组,night,6,6,college,6,daily,no,11,approve_local,3,2,3,2,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,3,3,3,2,2,4,3,2,3,3,4,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,4,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,4,3,4,3,2,3,3,4,2,2,3,4,3,3,2,2,4,3,2,2,2,3,3,3,3,2,4,3,2,2,3,3,2,4,3,3,4,3,3,2,2,4,3,2,3,2,3,3,2,3,3,3,4,3,3,4,2,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,3,4,4,3,4,4,3,3,2,3,3,3,2,4,2,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,2,3,2,4,2,3,3,3,3,3,3,3,4,3,3,2,2,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,3ff22ea3f64a46aaa54d9211fc92d3dc,2026-06-11T09:45:12.703052+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-007,technician,生产3组,rotating,7,7,college,7,daily,yes,12,suggest,1,2,2,2,4,2,2,2,2,1,2,3,2,1,2,2,2,3,4,3,3,2,2,2,2,4,2,2,1,3,2,2,4,3,3,1,3,2,2,3,1,2,2,2,2,2,3,3,2,2,2,2,2,5,2,3,3,1,2,2,3,2,2,3,3,2,3,4,2,4,4,3,3,2,4,4,4,3,3,5,4,4,4,3,4,4,3,4,3,5,4,4,4,2,4,4,4,4,3,4,5,4,3,2,4,4,3,3,2,4,4,3,3,3,4,4,4,4,2,4,4,3,2,3,3,4,4,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3,2,4,3,3,3,3,2,3,3,2,3,3,4,3,4,3,2,3,3,2,3,3,3,4,3,2,3,4,2,2,3,4,4,3,3,3,4,3,3,4,2,3,3,4,4,3,4,3,3,4,3,2,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,5,3,3,3,3,3,4,2,3,3,3,3,3,3,4,3,3,3,4,3,3,2,3,3,3,4,4,2,3,3,3,3,3,2,4,3,3,3,3,2,3,3,4,2,3,2,3,4,4,3,3,3,4,3,3,3,3,4,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,2a67c079926d48bf9bf20f7bfc1083bc,2026-06-11T09:45:12.703908+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-008,process,生产4组,regular,8,8,college,8,daily,no,13,suggest,2,2,2,3,5,2,2,3,3,3,3,4,3,2,1,2,2,1,4,3,2,2,2,2,3,4,2,3,3,2,2,2,4,2,3,3,2,3,3,4,3,3,3,2,2,2,4,3,3,2,3,2,2,4,2,2,3,2,3,3,4,2,3,3,3,3,3,3,2,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,2,3,3,2,3,3,2,2,4,4,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,4,4,3,3,4,3,3,2,3,2,3,3,5,3,3,2,3,4,3,3,3,3,5,2,4,3,3,3,3,3,3,4,2,3,2,3,2,3,2,2,4,3,3,3,3,4,2,2,3,3,4,3,2,2,2,4,3,3,3,3,4,3,2,2,3,2,2,3,3,2,3,3,2,3,2,3,3,3,3,3,5,4,3,3,3,3,2,3,4,4,3,2,3,3,3,3,3,3,3,4,2,3,3,3,3,4,3,3,3,4,3,4,3,3,3,2,4,3,3,3,3,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,a6543b1d287a41c9a8d8242669efd007,2026-06-11T09:45:12.704839+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-009,team_lead,生产1组,day,9,9,college,1,daily,no,14,suggest,4,3,2,3,4,3,2,3,3,2,3,3,3,2,2,3,2,4,3,3,3,3,3,2,3,4,2,2,2,3,2,3,4,2,2,3,2,2,2,4,2,2,2,3,2,2,3,2,2,4,3,2,2,3,3,3,2,2,3,2,4,2,2,3,2,3,3,3,2,4,3,3,4,3,3,3,4,3,3,3,3,2,3,4,2,3,3,3,4,3,3,2,4,2,3,3,2,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,2,2,1,4,3,2,2,2,2,3,2,3,1,2,3,4,1,1,2,2,2,4,3,2,3,1,3,4,2,2,2,3,2,5,3,2,2,2,2,5,2,2,1,1,2,4,2,2,2,2,3,4,2,2,2,2,3,4,4,1,1,2,4,2,2,2,2,4,1,1,2,2,4,1,2,3,2,4,2,2,2,2,4,2,2,2,2,4,2,2,2,2,4,2,1,1,2,4,2,1,2,2,4,2,2,1,2,4,4,3,2,3,3,3,3,3,3,4,4,2,3,3,4,3,3,2,2,4,3,3,3,3,4,3,3,3,3,3,4,2,2,3,2,3,3,3,2,3,4,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
3.0.0,f265c6d6088748ee82b0824e086b7ddd,2026-06-11T09:45:12.705639+00:00,,CHEM-PILOT-01,匿名流程制造企业,medium,180,chemical,batch_process,反应与蒸发工序,East China,process_variation|energy_cost|equipment_downtime,plc|dcs|excel,connected,关键反应釜、蒸汽计量与三效蒸发,生产技术经理,SYN-010,automation,生产2组,night,10,10,college,2,daily,yes,15,suggest,2,3,3,4,2,3,3,3,3,3,3,3,3,4,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,4,4,3,4,3,3,4,3,3,2,4,2,3,4,3,3,3,3,2,4,2,3,4,3,3,4,3,3,3,2,4,2,3,3,3,3,3,3,4,2,3,3,2,4,3,2,2,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,4,2,2,2,3,4,2,2,2,3,2,3,2,3,2,2,3,5,2,3,3,2,2,3,3,2,3,2,2,4,2,2,2,3,3,4,2,3,2,3,2,4,3,3,3,3,3,4,2,2,2,2,2,3,2,2,3,3,3,4,4,3,4,4,2,4,5,4,4,2,4,3,3,3,2,5,4,3,4,2,3,3,4,4,2,4,4,4,3,2,4,3,3,4,3,5,4,4,4,2,4,3,4,5,2,4,4,3,4,2,4,4,4,4,2,4,4,5,4,2,4,4,3,4,3,4,4,4,4,2,4,5,4,4,2,3,3,3,4,2,4,3,3,3,4,3,3,3,3,2,3,budget|sensor_gap|legacy_assets,monitoring|maintenance|quality,training|time|expert,budget>sensor_gap>legacy_assets>network>data_quality,P_sensor>P_quality>C_network>C_edge>I_mapping,availability>quality>energy>throughput>flexibility,pilot_scope>baseline>owner>frontline>reuse,设备、质量、节拍和跨班组信息影响当前稳定运行。,先补齐关键测点、统一记录口径并减少重复录入。,本记录为 PCIO Toolkit 合成示例，仅供参考。
