variable,label_zh,label_en,n,missing,mean,std_dev,min,max,ci95_lower,ci95_upper
P_EQS_01,在最近6个月，本区域对设备运行状态感知的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for equipment-state sensing.",60,0,2.966666666666667,0.8227005276478739,1.0,5.0,2.754140584546249,3.1791927487870844
P_EQS_02,运行、待机、停机、故障及原因代码能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Run, idle, stop, fault, and reason-code data are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.8333333333333335,0.6929833971319694,2.0,5.0,2.6543167393024234,3.0123499273642436
P_EQS_03,一线人员能够用运行、待机、停机、故障及原因代码判断真实工况，而不只依赖口头经验。,"Frontline staff can use run, idle, stop, fault, and reason-code data to judge actual conditions rather than relying only on verbal experience.",60,0,2.8833333333333333,0.7385663314751766,2.0,5.0,2.6925414187307797,3.074125247935887
P_EQS_04,出现状态跳变、误报或未记录停机时，现场能够区分测量问题与真实工况异常。,"When state changes, false indications, or unrecorded stops occurs, the team can distinguish a measurement problem from a real operating exception.",60,0,3.0166666666666666,0.6762726024084974,1.0,4.0,2.841966928663371,3.1913664046699624
P_EQS_05,围绕设备运行状态感知的记录经常缺失、滞后或需要事后补填。,"Records for equipment-state sensing are often missing, delayed, or backfilled after the event.",60,0,2.966666666666667,0.843050688438623,1.0,5.0,2.7488835805721012,3.1844497527612323
P_EQS_06,情景：关键设备突然停机或频繁短停时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when a critical asset stops unexpectedly or repeatedly micro-stops, I can find sufficient data within the required time and take the correct first action.",60,0,2.933333333333333,0.8410378307593313,1.0,5.0,2.7160702235145444,3.150596443152122
P_EQS_07,围绕设备运行状态感知的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for equipment-state sensing can be cross-checked against an independent source, with discrepancies documented and resolved.",60,0,2.8,0.6587095756740946,1.0,4.0,2.629837272897512,2.9701627271024877
P_PRM_01,在最近6个月，本区域对关键工艺参数采集的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for critical process-parameter capture.",60,0,2.9833333333333334,0.6762726024084974,1.0,4.0,2.8086335953300376,3.158033071336629
P_PRM_02,温度、压力、流量、液位、配比、速度或节拍能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Temperature, pressure, flow, level, ratio, speed, or cycle data are recorded at the required frequency and can be retrieved by shift, batch, or work order.",60,0,2.9,0.705907277725455,1.0,4.0,2.7176448135943185,3.0823551864056813
P_PRM_03,一线人员能够用温度、压力、流量、液位、配比、速度或节拍判断真实工况，而不只依赖口头经验。,"Frontline staff can use temperature, pressure, flow, level, ratio, speed, or cycle data to judge actual conditions rather than relying only on verbal experience.",60,0,2.966666666666667,0.6880743620304537,1.0,5.0,2.7889182108732506,3.144415122460083
