variable,label_zh,label_en,n,missing,mean,std_dev,min,max,ci95_lower,ci95_upper
P_EQS_01,在最近6个月，本区域对设备运行状态感知的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for equipment-state sensing.",64,0,2.84375,0.695079075095,1.0,4.0,2.67012441299748,3.01737558700252
P_EQS_02,运行、待机、停机、故障及原因代码能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Run, idle, stop, fault, and reason-code data are recorded at the required frequency and can be retrieved by shift, batch, or work order.",64,0,2.8125,0.8333333333333334,1.0,5.0,2.6043395268207563,3.0206604731792437
P_EQS_03,一线人员能够用运行、待机、停机、故障及原因代码判断真实工况，而不只依赖口头经验。,"Frontline staff can use run, idle, stop, fault, and reason-code data to judge actual conditions rather than relying only on verbal experience.",64,0,2.71875,0.7007648882267351,1.0,4.0,2.5437041391351873,2.8937958608648127
P_EQS_04,出现状态跳变、误报或未记录停机时，现场能够区分测量问题与真实工况异常。,"When state changes, false indications, or unrecorded stops occurs, the team can distinguish a measurement problem from a real operating exception.",64,0,2.890625,0.7583856601517526,1.0,5.0,2.70118589855655,3.08006410144345
P_EQS_05,围绕设备运行状态感知的记录经常缺失、滞后或需要事后补填。,"Records for equipment-state sensing are often missing, delayed, or backfilled after the event.",64,0,2.765625,0.8681706272935281,1.0,5.0,2.5487624297067097,2.9824875702932903
P_EQS_06,情景：关键设备突然停机或频繁短停时，我能在规定时间内找到足够数据并采取正确的第一步。,"Scenario: when a critical asset stops unexpectedly or repeatedly micro-stops, I can find sufficient data within the required time and take the correct first action.",64,0,2.8125,0.6636838030841121,1.0,4.0,2.6467167186103335,2.9782832813896665
P_EQS_07,围绕设备运行状态感知的数据可与另一独立来源交叉核对，并留下偏差处理记录。,"Data for equipment-state sensing can be cross-checked against an independent source, with discrepancies documented and resolved.",64,0,2.765625,0.7290391044882407,1.0,4.0,2.583516450052267,2.947733549947733
P_PRM_01,在最近6个月，本区域对关键工艺参数采集的关键对象和测点有清晰清单。,"During the past six months, this area has maintained a clear inventory of critical objects and tags for critical process-parameter capture.",64,0,2.75,0.6666666666666666,1.0,4.0,2.5834716214566047,2.9165283785433953
P_PRM_02,温度、压力、流量、液位、配比、速度或节拍能够按规定频率形成连续记录，并可按班次、批次或工单调取。,"Temperature, pressure, flow, level, ratio, speed, or cycle data are recorded at the required frequency and can be retrieved by shift, batch, or work order.",64,0,2.828125,0.7674879141802159,1.0,5.0,2.6364122231498746,3.0198377768501254
P_PRM_03,一线人员能够用温度、压力、流量、液位、配比、速度或节拍判断真实工况，而不只依赖口头经验。,"Frontline staff can use temperature, pressure, flow, level, ratio, speed, or cycle data to judge actual conditions rather than relying only on verbal experience.",64,0,2.875,0.6546536707079771,2.0,4.0,2.7114723785642783,3.0385276214357217
